id,listing_url,name,space,host_name,host_location,host_response_time,host_response_rate,host_acceptance_rate,host_is_superhost,host_since,street,city,state,zipcode,property_type,room_type,accommodates,bathrooms,bedrooms,price,number_of_reviews
2583074,https://www.airbnb.com/rooms/2583074,Cozy room in a charming villa.,"The room is cozy and private. The house is less than a minute to public transportation. It is around the corner from the 'Pleasant Café\" restaurant.",Mohamed,Boston Massachusetts United States,within a few hours,100%,94%,true,2014-03-17,Cedrus Avenue Boston MA 02131 United States,Boston,MA,2131,Villa,Private room,1,2.5,1,4000,31
13251243,https://www.airbnb.com/rooms/13251243,Arborside Guest Cottage,"Today the cottage could be called a \"tiny house\" with 400 square feet of thoughtfully laid-out living space. The vaulted ceiling and open-concept design give it a roomy feel. There is a spiral staircase leading from the ground floor living room to a large sleeping loft with great views of the surrounding neighborhood and parkland. Please see picture to see if stairs are accessible for you.  Downstairs is furnished for comfort  and function with a twin sleeper sofa leather chairs and internet TV.   The dry kitchen area has a small refrigerator microwave toaster oven coffee maker and an electric kettle.  Most appropriate for light breakfasts lunch and snacks. There is no stove or oven and the sink is in the bathroom. With all the great restaurants who wants to cook anyway!  We provide disposable dishes and cutlery or you can use the dishware and stainless. The large closet includes hanging space a luggage rack and drawers for your clothes. The private bathroom is downstairs and ha",Carl & Judy,Boston Massachusetts United States,within an hour,100%,100%,false,2016-05-28,Weld Street Roslindale MA 02131 United States,Roslindale,MA,2131,House,Entire home/apt,3,1.0,0,12000,16
225834,https://www.airbnb.com/rooms/225834,Skyline View to Boston,After a good nights' sleep you will wake each morning to the smell of fresh brewed coffee - roasted here by me from exotic green beans. Pair this with some fresh baked artisan bread that I bake and typically have on hand. If you love coffee and fresh home made bread it doesn't get any better then this. If you are interested I might give you a lesson or two on how to roast your own coffee. In addition to fresh baked bread toasted with jam additional breakfast offerings may include cereal bagels with cream cheese or on occassion a Colombian breakfast of arepa egg and cheese. It's delicioso and a high protein breakfast a great way to start the day. At the end of the day I occassionally offer a fresh baked baguette with a sampling of quality cheeses. Current coffee offerings are listed at the end of this description. This room offers a rare and unique unobstructed view of the Boston skyline that includes privacy. All nearby buildings are below eye level from this bedroom. You can,Duane,Boston Massachusetts United States,within an hour,100%,79%,false,2011-09-18,Augustus Ave Boston MA 02131 United States,Boston,MA,2131,Apartment,Private room,2,0.0,1,7000,38
6400432,https://www.airbnb.com/rooms/6400432,Spacious 3 bedroom cape cod style,This Cape Cod style home features two bedrooms (one king-sized one with two twins) and kitchen newly remodeled bathroom and a large open living and dining area all on the first floor. Downstairs leads to a walk-out basement playroom with laundry half bath and TV area with a queen-sized sofa bed.  Also in the basement is our third bedroom (queen-sized) which opens onto the backyard and patio through lovely glass sliding doors.  There is a large gas grill  patio furniture and backyard for your use.  Driveway fits one car.  A bus stop directly in front of the house brings you to Forest Hills T Station on the Orange line from which all parts of Boston area easily accessible.  Downtown Boston is 15 minutes by car. Walk to Roslindale Village for the Commuter Rail shops restaurants public library post office and amazing Farmer's Market on Saturdays.  This would be a great place to bring kids: 10 minutes by car to the Franklin Park Zoo 20 minutes to the Blue Hills Reservation and,Jesús,Boston Massachusetts United States,within a day,100%,63%,false,2014-10-29,Metropolitan Ave Boston MA 02131 United States,Boston,MA,2131,House,Entire home/apt,8,1.0,3,15000,21
5498472,https://www.airbnb.com/rooms/5498472,4BD/3.5BA Perfect for families!,Our 2400+ square foot home is a hidden gem tucked away at the end of a private lane in a residential neighborhood.  Surrounded by trees the property has a spacious private and safe front yard for playing with kids or just relaxing in the hammock.   Our home has 4 bedrooms including 2 en suites (one king bed one queen bed) and two additional bedrooms (one twin bed) though one is currently set up as an office.  There is a lot of unused space (the office could fit a twin bed or crib the basement could sleep a bunch of people) but we only have beds set up for 5 people currently. We have a basement playroom with a treadmill and way more toys than we need!  Our home has cable TV TVs in the living room both master bedrooms and the basement wireless internet air conditioning (for those warm summer days) back deck BBQ fully stocked kitchen and bath laundry and off street parking.  We are nonsmokers and our home is extremely clean and comfortable. Ideally we would like to rent,Colette,Boston Massachusetts United States,N/A,N/A,N/A,false,2015-02-28,Chisholm Lane Boston MA 02131 United States,Boston,MA,2131,House,Entire home/apt,5,3.5,4,17500,1
894539,https://www.airbnb.com/rooms/894539,Private room in house,Large private room in a large house near the Arnold Arboretum in the Roslindale section of Boston. The Arboretum offers 281 acres with a living collection of trees shrubs and woody vines and is recognized as one of the most comprehensive and best documented of its kind in the world. House is on a one way block long street and is quiet.  Room is on the second floor in the back of the house next to a large bathroom with washer and drier available for use.  There is good natural light as well as privacy. It's an easy walk to Roslindale Square where you will find Commuter rail and buses to anywhere you want to go.  Roslindale has one of the city's best farmers' markets as well as excellent restaurants. Easy access to downtown Boston and Cambridge Great restaurants and shops nearby. Internet access cable and parking included Use of kitchen or shared meals.,Jennifer,Boston Massachusetts United States,within an hour,100%,92%,true,2013-01-19,Ashfield Street Roslindale MA 02131 United States,Roslindale,MA,2131,House,Private room,2,1.5,1,9500,40
879929,https://www.airbnb.com/rooms/879929,Surround yourself with custom art!,One big bedroom in a three bedroom Apartment in Boston. Guest has use of kitchen living room Laundry on premises. Conveniently located on back side of Arnold Arboretum just a 3 minute walk to commuter rail (and then 11Minutes to Down town) bus stop at corner 15 minute walk to Forest hills MBTA station. 3 minute walk to restaurants and stores. On bike path to inner corridor. This is the home of a woodworker/sculptor and you will be surrounded by art. Located in a safe quiet neighborhood.,Beth,Boston Massachusetts Roslindale Neighborhood,within an hour,100%,100%,false,2013-01-10,Ashfield Street Roslindale MA 02131 United States,Roslindale,MA,2131,Apartment,Private room,2,1.0,1,9000,43
9218312,https://www.airbnb.com/rooms/9218312,Sunny bedroom with private bathroom,Large sunny bedroom with double bed love seat in a bay window and a new private marble bathroom with claw foot tub glass shower and heated floors. A separate entrance allows guests privacy and flexibility.,Jone,Boston Massachusetts United States,within a few hours,100%,100%,true,2015-11-01,Fairview Street Boston MA 02131 United States,Boston,MA,2131,House,Private room,2,1.0,1,9500,33
321328,https://www.airbnb.com/rooms/321328,Bright Room Near Roslindale Village,I have an attractive room available in Roslindale. The apartment is bright and airy with two porches and easy walk to the bus and commuter rail for downtown Boston.  Free wi-fi parking 10 minute walk to Roslindale Square.  I am a traveller myself and like meeting people from all over the world.  Guests are welcome to use the kitchen and come and go as they wish. Parking is ample and free.  I am a small business owner and my home is also my office but I am out much of the time and on weekends as well. Your rental of a room in my apartment will most likely feel like renting the whole place because I am gone so frequently at night.   We are very close to the Arnold Arboretum which is a wonderful respite in any season from the hustle bustle.  I have taken some of my AirBnB guests on bicycle tours of the area but you don't need me to guide you...just follow your eyes to whatever you like there.  Roslindale Village is very attractive and there is a nice mix of shops restaurants and a Sa,Dan,Boston Massachusetts United States,within a day,60%,100%,false,2013-08-21,Selwyn St Boston MA 02131 United States,Boston,MA,2131,Apartment,Private room,2,1.0,1,10000,11
6513924,https://www.airbnb.com/rooms/6513924,Private room in spacious condo!,Spacious modern construction condo with plenty of parking.  Homage to our great Boston sports teams all throughout the place...apologies NY sports fans. I do get train noise here as Hyde Park Ave. runs parallel to a commuter rail line.  At night and on weekends it's not as bad though.  Have fans and white noise machine to offset/neutralize the noise.,Chris,Boston Massachusetts United States,within a few hours,95%,100%,false,2014-06-04,Hyde Park Avenue Boston MA 02131 United States,Boston,MA,2131,Condominium,Private room,1,1.0,1,5500,30
7093109,https://www.airbnb.com/rooms/7093109,Adorable  Apt. 20 min from Downtown,New Totally renovated 2 bedroom apartment located 30 minutes approximately from Downtown Boston. The apartment is very bright and spacious it has 1180 Sq feet of living space.  It has a balcony in the front and one on the back. Full Kitchen with Microwave Toaster Coffee maker Dishwasher Full Size Refrigerator so you are welcome to cook your meals if desired.  The apartment is located in a 3 family building.  This apartment is totally private and it is located on a Second Floor you will be the only ones staying in there it is not being shared with anybody.  I don't live in this building but my mother does live on the 1st floor. I live 5 minutes away from the apartment so feel confident that if you need any assistance you won't have any problems as I will be just a phone call away. SOME OF THE AMENITIES - Fresh Linens and Towels - Wireless Internet Access - Hair Dryer - Iron and Ironing Board - Shampoo - Conditioner - Body Wash Parking is not included. Street Parking (free) -,Nelson And Marlene,Boston Massachusetts United States,within an hour,100%,100%,false,2015-06-30,Hyde Park Avenue Boston MA 02131 United States,Boston,MA,2131,Apartment,Entire home/apt,6,1.0,2,20000,2
1861070,https://www.airbnb.com/rooms/1861070,Charming Gambrel on a sweet street,This beautiful house filled with a lifetime of collections will wow you.  Your room is small and cozy with antique linens and select readings.  Share a modern bathroom and a kitchen designed by a chef.  On-street parking. 45 minutes to downtown Boston on Public transport.,Joanne,Boston Massachusetts United States,within a few hours,100%,71%,false,2013-09-16,Granada Avenue Boston MA 02131 United States,Boston,MA,2131,House,Private room,1,1.5,1,7500,17
4283698,https://www.airbnb.com/rooms/4283698,Private 1 bedroom w/ kitchenette,This is a fantastic space!  We've finished all the updates which the current pictures don't reflect.  It's even better now!   This is a third floor with a cozy feel but with lots of space.  Huge bedroom & kitchen.  8 ft ceilings in most places.  We've updated all the fixtures and appliances new paint new flooring and furniture.   It's clean and there's plenty of room for 4+ people.  The kitchen is large with a table and seating for 4.  Coffee is provided.   It's fully heated and there's a window AC unit in the summer months. As of January 2016 we have a new futon for comfort and ease of use.  Bedroom mattress is fantastic and new within the last few years- extremely comfortable.,Gena & Leon,Boston Massachusetts United States,within an hour,100%,95%,false,2011-01-02,Fletcher Street Boston MA 02131 United States,Boston,MA,2131,House,Entire home/apt,4,1.0,1,11000,55
10116095,https://www.airbnb.com/rooms/10116095,Comfortable & Clean - Boston,Private bedroom in a 2 bedroom apartment near the Arnold Arboretum in the Roslindale MA. The Arboretum offers 281 acres with a living collection of trees shrubs and is recognized as one of the most comprehensive and best documented of its kind in the world. It's great for walks anytime of year. The unit is on a one way street and is very quiet. Shared bathroom kitchen living area. There is good natural light as well as privacy. It's an easy walk to Roslindale Village where you will find Commuter rail (15 min ride to downtown Boston) and buses. Great restaurants and shops are within walking distance. Wireless Internet HDTV and parking included.,Jim,Boston Massachusetts United States,within a few hours,100%,100%,false,2011-09-30,Sheffield Road Boston MA 02131 United States,Boston,MA,2131,Apartment,Private room,2,1.0,1,11500,0
8548176,https://www.airbnb.com/rooms/8548176,Charming 3 bedroom-15 min to Boston,Lots of room for 3 couples or a family.  3 bedrooms (only 1 bathroom) Walk to Roslindale Square- the new hip area of Boston. Easy access to downtown from the Rosi train station. Free parking in my driveway. Large space and great for 3 couples or a family. Only one bathroom however. Dishwasher needs to be replaced. Free parking and wifi. This is a NO SHOES house. I have provided clean slipper/socks for your use. This keeps the house extra clean. Please leave your shoes on the shoe shelves when you first enter. NO SMOKING EITHER INSIDE OR OUTSIDE. The basement and garage are not part of the house rental. You can park off street in the driveway. Feel free to relax in the backyard and eat the concord grapes. I can interact or not- your choice. I have an electronic key entry so you will receive a code to enter which will give you flexibility when to arrive in case you are running late and we will not have to meet up. I am around doing yard work and maintenance so we will possibly meet at so,Juliet,Milton Massachusetts United States,within an hour,98%,96%,false,2013-05-25,Kittredge Street Boston MA 02131 United States,Boston,MA,2131,House,Entire home/apt,16,1.0,3,12500,24
4922204,https://www.airbnb.com/rooms/4922204,Charming new house-15 min to Boston,Guests can use the entire house but if your group is less than the entire house will fit  you will have access to the number of bedrooms you need and the others will be closed so I don't have as much to clean. I ask for guests to please take off their shoes inside the house and please no smoking. There is another apartment in the basement level which I may stay in if I am in town but I am often away. I also come over to water the new grass which I am trying to grow! I am happy to interact or leave you on your own! I have an electronic keypad for entry so you will not have to worry about the key if I am not around. If there are no guests the night before your arrival or none coming the day of your departure an earlier check-I time or later check-out time will be possible. An entire house takes a good amount of time to clean and change the sheets so please respect these times. Roslindale is a very trendy neighborhood in Boston. Within a 5 minute walk there are several great restaura,Juliet,Milton Massachusetts United States,within an hour,98%,96%,false,2013-05-25,Kittredge St Roslindale Boston MA 02131 United States,Roslindale Boston,MA,2131,House,Entire home/apt,16,2.5,3,20000,82
4085362,https://www.airbnb.com/rooms/4085362,"\"Room with a View\"  from \"Top of the Hill\"","We provide a bedroom and a full shared bath for this room. From the front of the house you have a panoramic view of Boston and from the back deck you have a private space overlooking our spacious back yard and the greenery of the neighborhood.  We provide the towels and the linens.   (For the summer months we have air conditioning in the bedrooms)  Our home is impeccably clean.  We vacuum dust and clean everywhere before and after our guests arrive and depart.  For use of another room see our listing at Sub\"Urban\" Vacationing Rm 1.  We will respond to your inquiry within 6-8 hours or less so please be a little patient while waiting.  In order to best accommodate our guests we ask that requests/inquiries be made at least 48 hours in advance.  This is because we care about you and we want to prevent you from being inconvenienced.",Marilyn,Boston Massachusetts United States,within a few hours,100%,100%,true,2012-08-05,Cornell Street Boston MA 02131 United States,Boston,MA,2131,House,Private room,2,2.0,1,7500,20
3755609,https://www.airbnb.com/rooms/3755609,Lovely & Gracious Victorian room,The room is lovely sunny decorated with authentic high quality contemporary Latin American paintings the home used to be an art gallery. The art display on the walls was published in a Boston Globe article with great reviews.,Rosa,US,within a few hours,100%,100%,false,2014-07-31,Metropolitan Avenue Boston MA 02131 United States,Boston,MA,2131,House,Private room,1,1.0,1,7800,21
1936861,https://www.airbnb.com/rooms/1936861,Private Room in Rozzie,Simple private space with a surprising amount of room. You also get to admire my inadequate efforts at modern art.,Douglas,Boston Massachusetts United States,within a few hours,100%,71%,true,2013-11-14,Fletcher Street Boston MA 02131 United States,Boston,MA,2131,Apartment,Private room,1,1.0,1,6000,143
4461111,https://www.airbnb.com/rooms/4461111,Queen room in a charming villa,"The room is private and  has two windows overlooking  the yard. The house is one block from the bus line.  It is around the corner from the 'Pleasant Café\" restaurant.",Mohamed,Boston Massachusetts United States,within a few hours,100%,94%,true,2014-03-17,Cedrus Avenue Boston MA 02131 United States,Boston,MA,2131,House,Private room,1,1.5,1,4500,2
1724900,https://www.airbnb.com/rooms/1724900,Charming sunlit house in Boston,A cosy house on one floor with typical inside architecture of  East Coast America.  Easy access to commuter rail Roslindale Village stop Forest Hills T stop 15 minutes away Bus lines 34 and others run up Washington Street and along Belgrade Ave Easy walking to all bus stops and village shops,Fj,Boston Massachusetts United States,within a few hours,77%,89%,false,2013-07-25,Birch Street Boston MA 02131 United States,Boston,MA,2131,House,Entire home/apt,4,1.0,2,14500,26
3968797,https://www.airbnb.com/rooms/3968797,Sunny bedroom in large quiet house,Queen bed with new mattress.  Comfortable desk space with wifi.  Plenty of closet space.,Jennifer,Boston Massachusetts United States,within an hour,100%,92%,true,2013-01-19,Ashfield Street Boston MA 02131 United States,Boston,MA,2131,House,Private room,2,1.5,1,8500,29
1494726,https://www.airbnb.com/rooms/1494726,Cozy in Rozzie!,Spacious room with private bathroom in really nice house located south of Boston 40 minutes to downtown Boston by public transportation.  It can accommodate up to 2 people.  Great restaurants nearby. The house has three levels and the room is located in the lower level. Beautiful backyard and garden country feelin in the city. Share the kitchen and common areas with two more adults and 2 wonderful cats. Wi-Fi Cable TV A/C Laundry by asking Heater Small refrigerator for your use House kitchen (some restrictions) deck and garden NO Handicap access. There are 6 steps down to the room. If you like quaint villages come to Rozzie Square and explore the great shops and restaurants: American Indian Italian Korean etc.  Some play live music on selected nights. Local Craft and Art shops. Great Cheese Fish Bakeries Wine and Flower stores.  Only 20 minutes to downtown Boston in the Commuter Train from Rozzie Square.  The Arnold Arboretum and many other parks are walking distance.,Maria Cecilia,Boston Massachusetts United States,within a few hours,100%,100%,false,2013-07-15,Glendower Road Roslindale MA 02131 United States,Roslindale,MA,2131,House,Private room,1,1.0,1,7500,9
8473851,https://www.airbnb.com/rooms/8473851,Private Room in Single Family Home,The bedroom is on the second floor of a 2 story house.  I have a dog and a cat.  Bathroom is shared right outside the bedroom.,Jessica,Boston Massachusetts United States,within a few hours,100%,91%,false,2015-09-19,Beech Street Boston MA 02131 United States,Boston,MA,2131,House,Private room,2,2.0,1,5000,14
3575220,https://www.airbnb.com/rooms/3575220,The Artist room in beautiful villa.,"The room is spacious and private. The house is one block away from the bus line.  It is around the corner from the 'Pleasant Café\" restaurant.",Mohamed,Boston Massachusetts United States,within a few hours,100%,94%,true,2014-03-17,Cedrus Avenue Boston MA 02131 United States,Boston,MA,2131,House,Private room,1,2.5,1,4500,8
1591827,https://www.airbnb.com/rooms/1591827,PrivRoom+Bath In Roslindale/Boston,Our listing is a private room in a very convenient location. There is no need for a car due to direct access to public transportation (Bus 32 2 mins walk) but there is also ample street parking (please note no parking in front on Sunday nights for street cleaning) if you bring or rent one. We offer a clean quiet friendly and tolerant atmosphere for all those who want to visit our city at a reasonable cost. Our street is pretty busy so if you have trouble with traffic noise you may not want to stay at our location. But we have the extra space and we are happy to share it.,Jeff,Boston Massachusetts United States,within an hour,100%,67%,false,2013-08-28,Hyde Park Avenue Roslindale MA 02131 United States,Roslindale,MA,2131,House,Private room,2,1.0,1,6000,117
3229255,https://www.airbnb.com/rooms/3229255,1bd Boston apt - Convenient & quiet,Private 1bd apt. Great hotel alternative or longer stay option for visiting relatives students Boston Marathoners graduation visitors language students at Boston School of Modern Foreign Languages etc. Ample on street parking. No restrictions. Walk everywhere! Closest AirBnb to Roslindale Village and train station. LONG STAY INFO: Monthly pricing - contact us for long stay inquiries!  In 2014/2015 we had several guests who enjoyed 1 month+ stays. We are fully equipped for long stay with full kitchen private washer/dryer cleaning option and vacuum provided for self clean etc. HOW MANY PEOPLE CAN THE APARTMENT SLEEP? We think 3 most comfortably. However we recognize that everyone's tolerance for sharing space is different as is everyone's budget. So while we are at great pains to paint an accurate picture of the size of the apartment it's up to guests if they feel they are OK with squeezing extra people in. If you are really looking for an economical stay plan to be out most of,Ella & Will,Boston Massachusetts United States,within a few hours,90%,94%,true,2014-06-03,Pinehurst Street Boston MA 02131 United States,Boston,MA,2131,Apartment,Entire home/apt,3,1.0,1,9500,53
1721016,https://www.airbnb.com/rooms/1721016,Quiet Sunlit Attic Studio,A quiet beautiful spacious attic on top floor with much light. Bathroom and small kitchenette. Skylights and large window . Suitable for one person or couple only. There are steep stairs up to the studio as it is an attic apartment. Please note it is not a full kitchen. The space is above where we live so we appreciate quiet and calm. Easily accessible to Downtown Boston and within walking distance to many small restaurants and bars and cafés. A friendly neighbourhood typical of the East coast of the United States.,Fj,Boston Massachusetts United States,within a few hours,77%,89%,false,2013-07-25,Birch Street Boston MA 02131 United States,Boston,MA,2131,Apartment,Entire home/apt,2,1.0,0,8900,3
12535687,https://www.airbnb.com/rooms/12535687,In-Law Apartment,Open floor apartment. The living area has a sofa and one full size futon to accommodate three people bureau and small closet. Full size inflatable bed is available upon request. Working chimney and heat in the cold weather and AC for the hot summer days.  Well-equipped kitchen and dining room. Coffee and tea provided. Full bathroom and laundry facility.  Free Wifi. Private parking. Forrest Hills T station (Orange Line) is less than a mile away walk or take a bus. Bus stop is at the corner of the house.,Rossanna,Boston Massachusetts United States,N/A,N/A,N/A,false,2015-03-31,Atherton Avenue Boston MA 02131 United States,Boston,MA,2131,Apartment,Entire home/apt,3,1.0,0,11000,0
